primitive_id,region_id,food_x,food_y,drag_length,score,max_pos_error,max_tilt_error,preview_max_tilt,min_sigma,max_condition,max_contact,head_drop_pre,head_drop_engage,head_drop_drag_start,head_drop_drag_end,min_head_drop,max_head_drop_error
R05_00184,5,0.0546,0.20720000000000002,0.05,14.962955796617907,0.0175768993410691,0.6103456620376835,0.6103456620376835,0.054152436351842026,8.725362370316732,0,0.07499173209152032,0.07890780110443674,0.0769667143284282,0.042990088552803174,0.042990088552803174,0.0
R05_00152,5,0.0546,0.18293333333333336,0.035,14.965181597129941,0.017664215550336062,0.6139577089721004,0.6139577089721004,0.05463298334454951,8.876122695338166,0,0.07499952889644926,0.07889543150772836,0.07696666766708726,0.05036367178481033,0.05036367178481033,0.0
R05_00045,5,0.0364,0.15866666666666668,0.035,14.966708719704707,0.01764516717961639,0.6135235121686312,0.6135235121686312,0.05516579603322599,8.578100883629922,0,0.07494881186580951,0.07888438021323697,0.07695431207772392,0.050348486761600725,0.050348486761600725,0.0
R05_00081,5,0.0364,0.20720000000000002,0.05,14.96686365543069,0.0177142644497108,0.6106574047422892,0.6106574047422892,0.04886440178437609,10.240132335520956,0,0.07499622576013287,0.07889366933690843,0.07695803601018086,0.04298173468786058,0.04298173468786058,0.0
R05_00147,5,0.0546,0.15866666666666668,0.05,14.967122473545276,0.01756456894613146,0.6097245918842712,0.6097245918842712,0.05232557238361361,8.605025065517365,0,0.07475535680043147,0.07884749665219137,0.0769078782555582,0.0429574887200416,0.0429574887200416,0.0
R05_00403,5,0.091,0.15866666666666668,0.07,14.970003223738452,0.017941750609445323,0.6117430644687358,0.6117430644687358,0.04263378045455421,10.537092603691411,0,0.07472896254919509,0.07877443712192918,0.0768418207023976,0.03789948605124439,0.03789948605124439,0.0
R05_00259,5,0.0728,0.15866666666666668,0.05,14.976243249933274,0.017568639600365338,0.6084313157786245,0.6084313157786245,0.05419890167795665,8.020281153310268,0,0.07409062025771732,0.07870655903346115,0.07676743843782897,0.04287306398518079,0.04287306398518079,0.0
R05_00247,5,0.0728,0.15866666666666668,0.035,14.980835668135398,0.017950511169410984,0.6108071866733852,0.6108071866733852,0.06001007466788391,7.58774643019577,0,0.07492009360117396,0.07882116337879302,0.07688578566460481,0.05027004242794168,0.05027004242794168,0.0
R05_00055,5,0.0364,0.18293333333333336,0.035,14.984396221107719,0.017668925931868317,0.614060023579722,0.614060023579722,0.054632010413686545,8.871504314214913,0,0.07493304869010692,0.07888060019161627,0.07695273213188131,0.050358492915771075,0.050358492915771075,0.0
R05_00123,5,0.0364,0.25573333333333337,0.05,14.984627962415802,0.017802764141807117,0.6194318663322458,0.6194318663322458,0.031139280598736777,16.568623664575135,0,0.07462478339019571,0.07983112218241302,0.07790846271584838,0.04439590483071916,0.04439590483071916,0.0
